x1,y1,z1,x2,y2,z2
-2.87E+00,-3.37E-01,7.91E-01,[Horizons] SMALL BODY #C(500@10)_T(199 Byblis) (1/1),SMALL,0
-1.51E+00,2.28E+00,3.00E-01,[Horizons] SMALL BODY #C(500@10)_T(195 Eurykleia) (1/1),SMALL,0
-1.65E+00,-2.14E+00,2.04E-01,[Horizons] SMALL BODY #C(500@10)_T(197 Arete) (1/1),SMALL,0
-5.27E-01,2.42E+00,-9.86E-02,[Horizons] SMALL BODY #C(500@10)_T(198 Ampella) (1/1),SMALL,0
2.31E+00,2.13E+00,-1.98E-01,[Horizons] SMALL BODY #C(500@10)_T(196 Philomela) (1/1),SMALL,0
1.39E+00,-2.61E+00,-4.91E-01,[Horizons] SMALL BODY #C(500@10)_T(193 Ambrosia) (1/1),SMALL,0
-1.24E-01,2.14E+00,2.40E-01,[Horizons] SMALL BODY #C(500@10)_T(192 Nausikaa) (1/1),SMALL,0
-2.00E+00,-2.33E+00,5.88E-01,[Horizons] SMALL BODY #C(500@10)_T(191 Kolga) (1/1),SMALL,0
-1.34E-01,-2.07E+00,6.65E-01,[Horizons] SMALL BODY #C(500@10)_T(194 Prokne) (1/1),SMALL,0
1.00E+00,-2.20E+00,2.19E-01,[Horizons] SMALL BODY #C(500@10)_T(189 Phthia) (1/1),SMALL,0
3.89E+00,-5.19E-01,2.27E-02,[Horizons] SMALL BODY #C(500@10)_T(190 Ismene) (1/1),SMALL,0
-2.98E+00,-2.78E-02,-5.37E-01,[Horizons] SMALL BODY #C(500@10)_T(188 Menippe) (1/1),SMALL,0
-2.42E+00,-8.45E-01,-4.73E-02,[Horizons] SMALL BODY #C(500@10)_T(186 Celuta) (1/1),SMALL,0
3.16E+00,2.42E-02,-2.14E-01,[Horizons] SMALL BODY #C(500@10)_T(187 Lamberta) (1/1),SMALL,0
-2.47E+00,1.73E+00,6.80E-03,[Horizons] SMALL BODY #C(500@10)_T(184 Dejopeja) (1/1),SMALL,0
-1.49E+00,-2.31E+00,1.17E+00,[Horizons] SMALL BODY #C(500@10)_T(185 Eunike) (1/1),SMALL,0
2.99E+00,-1.76E+00,-1.35E-01,[Horizons] SMALL BODY #C(500@10)_T(181 Eucharis) (1/1),SMALL,0
1.85E+00,8.12E-01,-7.03E-02,[Horizons] SMALL BODY #C(500@10)_T(182 Elsa) (1/1),SMALL,0
-2.12E+00,-2.62E+00,1.67E+00,[Horizons] SMALL BODY #C(500@10)_T(183 Istria) (1/1),SMALL,0
2.22E+00,-9.73E-01,-7.74E-02,[Horizons] SMALL BODY #C(500@10)_T(178 Belisana) (1/1),SMALL,0
1.20E+00,-2.49E+00,2.64E-01,[Horizons] SMALL BODY #C(500@10)_T(179 Klytaemnestra) (1/1),SMALL,0
1.26E+00,-2.26E+00,-4.63E-02,[Horizons] SMALL BODY #C(500@10)_T(177 Irma) (1/1),SMALL,0
1.77E+00,1.93E+00,-4.97E-01,[Horizons] SMALL BODY #C(500@10)_T(176 Iduna) (1/1),SMALL,0
2.65E+00,-1.69E+00,1.28E-02,[Horizons] SMALL BODY #C(500@10)_T(180 Garumna) (1/1),SMALL,0
-1.24E+00,2.27E+00,2.50E-01,[Horizons] SMALL BODY #C(500@10)_T(172 Baucis) (1/1),SMALL,0
-1.40E+00,2.35E+00,-3.19E-01,[Horizons] SMALL BODY #C(500@10)_T(173 Ino) (1/1),SMALL,0
-3.25E+00,-1.57E+00,-1.57E-02,[Horizons] SMALL BODY #C(500@10)_T(175 Andromache) (1/1),SMALL,0
-8.49E-01,3.06E+00,4.57E-01,[Horizons] SMALL BODY #C(500@10)_T(174 Phaedra) (1/1),SMALL,0
-2.18E+00,-1.80E+00,8.76E-02,[Horizons] SMALL BODY #C(500@10)_T(167 Urda) (1/1),SMALL,0
-2.61E+00,1.75E-02,-2.14E-02,[Horizons] SMALL BODY #C(500@10)_T(169 Zelia) (1/1),SMALL,0
-1.30E+00,2.02E+00,-1.67E-02,[Horizons] SMALL BODY #C(500@10)_T(170 Maria) (1/1),SMALL,0
3.34E+00,8.02E-01,-1.53E-01,[Horizons] SMALL BODY #C(500@10)_T(171 Ophelia) (1/1),SMALL,0
2.86E+00,1.25E+00,1.03E-02,[Horizons] SMALL BODY #C(500@10)_T(168 Sibylla) (1/1),SMALL,0
-3.09E+00,-5.16E-01,5.81E-01,[Horizons] SMALL BODY #C(500@10)_T(166 Rhodope) (1/1),SMALL,0
2.80E+00,-2.15E+00,-3.61E-01,[Horizons] SMALL BODY #C(500@10)_T(162 Laurentia) (1/1),SMALL,0
2.19E+00,-1.42E+00,4.98E-02,[Horizons] SMALL BODY #C(500@10)_T(163 Erigone) (1/1),SMALL,0
-8.73E-02,-2.86E+00,-3.19E-01,[Horizons] SMALL BODY #C(500@10)_T(165 Loreley) (1/1),SMALL,0
-2.88E+00,1.18E+00,1.40E+00,[Horizons] SMALL BODY #C(500@10)_T(164 Eva) (1/1),SMALL,0
-1.15E+00,2.34E+00,1.66E-01,[Horizons] SMALL BODY #C(500@10)_T(160 Una) (1/1),SMALL,0
-2.96E+00,-5.77E-01,2.72E-01,[Horizons] SMALL BODY #C(500@10)_T(159 Aemilia) (1/1),SMALL,0
2.47E+00,-1.41E+00,-6.12E-01,[Horizons] SMALL BODY #C(500@10)_T(157 Dejanira) (1/1),SMALL,0
-6.22E-01,-2.07E+00,-2.82E-01,[Horizons] SMALL BODY #C(500@10)_T(161 Athor) (1/1),SMALL,0
2.04E+00,-2.08E+00,3.06E-02,[Horizons] SMALL BODY #C(500@10)_T(158 Koronis) (1/1),SMALL,0
-1.76E+00,-2.86E+00,-2.03E-01,[Horizons] SMALL BODY #C(500@10)_T(155 Scylla) (1/1),SMALL,0
-1.01E+00,4.37E+00,-5.04E-01,[Horizons] SMALL BODY #C(500@10)_T(153 Hilda) (1/1),SMALL,0
2.82E+00,1.77E+00,2.84E-01,[Horizons] SMALL BODY #C(500@10)_T(156 Xanthippe) (1/1),SMALL,0
